"label" "u-r" "F378-r" "F395-r" "F410-r" "F430-r" "g-r" "F515-r" "r-F660" "r-i" "r-F861" "r-z"
"Ech1.30Zm0.35T00.8000_iTp0.00_baseFe.sed" 1 1.49286904255219 1.08502030695936 0.681866728860342 0.376926097256685 0.342732809679063 0.202486317459176 0.125168348709607 0.0201844270528255 -0.126100769384678 -0.14542971348213 -0.225672489265122
"Ech1.30Zm0.35T00.9000_iTp0.00_baseFe.sed" 1 1.54637085106746 1.14648943735479 0.758604388268523 0.43777050594889 0.395182301980896 0.236637319008366 0.148524368615739 0.0126328566245917 -0.138476865771608 -0.165185706170263 -0.249765378549753
"Ech1.30Zm0.35T01.0000_iTp0.00_baseFe.sed" 1 1.59981234186064 1.20749573909941 0.836765132155264 0.500035896759996 0.448651975517663 0.270924256240676 0.171853472231916 0.005535649442308 -0.149939251400923 -0.182282854468426 -0.276827395836506
"Ech1.30Zm0.35T01.2500_iTp0.00_baseFe.sed" 1 1.80609168953637 1.43979987285471 1.11259723701338 0.733159329063596 0.653303039918583 0.403677623725741 0.271547508775399 -0.025612794903779 -0.211846669910429 -0.273231393836156 -0.36092752420457
"Ech1.30Zm0.35T01.5000_iTp0.00_baseFe.sed" 1 2.09184223533995 1.73392505151327 1.44052904051878 1.01459602345935 0.900070979486827 0.561918172862121 0.396585382229503 -0.0629500516167241 -0.310041998378153 -0.416168024426824 -0.50993143764083
"Ech1.30Zm0.35T01.7500_iTp0.00_baseFe.sed" 1 2.0019065405115 1.64934704446696 1.3813911598441 0.959317102098566 0.845093506412795 0.523446680565385 0.360082135432606 -0.0530268182346987 -0.269884054944526 -0.350269888183817 -0.416024210715065
"Ech1.30Zm0.35T02.0000_iTp0.00_baseFe.sed" 1 2.06473756806498 1.72452539781239 1.47222899921778 1.03362259811097 0.911406344851429 0.561863268315136 0.388137004815292 -0.0622505843281971 -0.29351587992997 -0.380382360854256 -0.445152753036368
"Ech1.30Zm0.35T02.2500_iTp0.00_baseFe.sed" 1 2.04049601315288 1.71676600925534 1.48120004903058 1.03788091311299 0.916678293060301 0.565634009268223 0.391749968773212 -0.0638708509974322 -0.30037055807648 -0.38779932491461 -0.452314315498427
"Ech1.30Zm0.35T02.5000_iTp0.00_baseFe.sed" 1 2.04996961060775 1.73638701652349 1.51286620230634 1.05782239352733 0.933296177061806 0.573913129371235 0.396958498165844 -0.0654448169771484 -0.299719041024304 -0.386507444636734 -0.444331265926095
"Ech1.30Zm0.35T02.7500_iTp0.00_baseFe.sed" 1 2.06945989419684 1.76432397776284 1.55049810942131 1.08296215497403 0.954114298117759 0.585230805354698 0.404853320080065 -0.0679073757092965 -0.305965570434964 -0.395565923238749 -0.452871024980297
"Ech1.30Zm0.35T03.0000_iTp0.00_baseFe.sed" 1 2.09368374964376 1.79340336790614 1.58494113768054 1.10796545029662 0.975582989536463 0.596926561818748 0.413311022828069 -0.0704160176196638 -0.311045794065649 -0.40271040955821 -0.459011984912749
"Ech1.30Zm0.35T03.2500_iTp0.00_baseFe.sed" 1 2.11257695189366 1.81331639942999 1.60594023710723 1.1234660147319 0.989203970669422 0.604596599218937 0.419094216180099 -0.0720209674129535 -0.313971744693603 -0.406994863293633 -0.462796333301384
"Ech1.30Zm0.35T03.5000_iTp0.00_baseFe.sed" 1 2.11538554774202 1.8211887234154 1.61820097322332 1.13099755409411 0.996710418678546 0.608269760693645 0.421744501677495 -0.0727783851761785 -0.316926418688638 -0.411411442325402 -0.466585613193303
"Ech1.30Zm0.35T03.7500_iTp0.00_baseFe.sed" 1 2.11732152423147 1.82536625144249 1.62640932179727 1.13361738720272 0.999475058088194 0.609051055325935 0.4222417177659 -0.0729843851238741 -0.31713277470763 -0.411324537636716 -0.464046121650938
"Ech1.30Zm0.35T04.0000_iTp0.00_baseFe.sed" 1 2.13499935857406 1.84442786581363 1.64843738681675 1.14767994447016 1.0120973991764 0.615574246143069 0.426991763636167 -0.0743154242021404 -0.320484360010596 -0.415032914141221 -0.468474599173902
"Ech1.30Zm0.35T04.5000_iTp0.00_baseFe.sed" 1 2.16030997804674 1.87311137985789 1.68035514939723 1.17119634708698 1.0330139903031 0.62718497373298 0.435751044656797 -0.0769232697165307 -0.32493452968167 -0.420730741932701 -0.472968037579321
"Ech1.30Zm0.35T05.0000_iTp0.00_baseFe.sed" 1 2.16770911141099 1.88227974570054 1.69326372865743 1.17692739331562 1.0393828878324 0.629711303936077 0.437818565860709 -0.0776093286423105 -0.32644029692176 -0.421852286398249 -0.473790252147779
"Ech1.30Zm0.35T05.5000_iTp0.00_baseFe.sed" 1 2.19255483324743 1.91142891540849 1.72434041792455 1.19871507761243 1.06006238100322 0.640789697641196 0.446919673528328 -0.079596720605295 -0.3330714920898 -0.429545992601703 -0.481320335563765
